state,district,total_crimes,total_assault,total_property,assault_pct
Selangor,Kajang,19250,4399,14851,22.9
Selangor,Klang,22340,6055,16285,27.1
Selangor,Kuala Langat,4384,1141,3243,26.0
Selangor,Kuala Selangor,3664,771,2893,21.0
Selangor,Petaling Jaya,23078,5517,17561,23.9
Selangor,Sabak Bernam,2253,400,1853,17.8
Selangor,Sepang,5796,1279,4517,22.1
Selangor,Serdang,12703,2538,10165,20.0
Selangor,Sg. Buloh,5546,1144,4402,20.6
Selangor,Shah Alam,9319,1456,7863,15.6
Selangor,Subang Jaya,9399,1960,7439,20.9
Selangor,Sungai Buloh,1926,379,1547,19.7
Terengganu,Besut,2933,489,2444,16.7
Terengganu,Dungun,2064,293,1771,14.2
Terengganu,Hulu Terengganu,935,166,769,17.8
Terengganu,Kemaman,2611,367,2244,14.1
Terengganu,Kuala Terengganu,4624,669,3955,14.5
Terengganu,Marang,1176,223,953,19.0
Terengganu,Setiu,641,110,531,17.2
