"state","year","category","crimes"
"Sarawak",2016,"assault",953
"Sarawak",2016,"property",5873
"Sarawak",2017,"assault",876
"Sarawak",2017,"property",5505
"Sarawak",2018,"assault",811
"Sarawak",2018,"property",5019
"Sarawak",2019,"assault",898
"Sarawak",2019,"property",5125
"Sarawak",2020,"assault",761
"Sarawak",2020,"property",5089
"Sarawak",2021,"assault",593
"Sarawak",2021,"property",3701
"Sarawak",2022,"assault",588
"Sarawak",2022,"property",3299
"Sarawak",2023,"assault",558
"Sarawak",2023,"property",3487
"Selangor",2016,"assault",6611
"Selangor",2016,"property",24612
"Selangor",2017,"assault",6470
"Selangor",2017,"property",19599
"Selangor",2018,"assault",4658
"Selangor",2018,"property",16762
"Selangor",2019,"assault",4302
"Selangor",2019,"property",15498
"Selangor",2020,"assault",4239
"Selangor",2020,"property",13353
"Selangor",2021,"assault",3805
"Selangor",2021,"property",11471
"Selangor",2022,"assault",2820
"Selangor",2022,"property",10205
"Selangor",2023,"assault",2953
"Selangor",2023,"property",10786
"Terengganu",2016,"assault",407
"Terengganu",2016,"property",2087
"Terengganu",2017,"assault",354
"Terengganu",2017,"property",1903
"Terengganu",2018,"assault",291
"Terengganu",2018,"property",1532
"Terengganu",2019,"assault",293
"Terengganu",2019,"property",1577
"Terengganu",2020,"assault",278
"Terengganu",2020,"property",1821
"Terengganu",2021,"assault",224
"Terengganu",2021,"property",1370
"Terengganu",2022,"assault",223
"Terengganu",2022,"property",1254
"Terengganu",2023,"assault",247
"Terengganu",2023,"property",1123
