"state","district","lat","lon","total_assault","total_property","total_crimes"
"Sabah","Kunak",4.7137,118.110833333333,58,416,474
"Sabah","Lahad Datu",5.0859,118.366283333333,306,1610,1916
"Sabah","Papar",5.71675,115.982483333333,234,1375,1609
"Sabah","Penampang",5.91076,116.10198,403,2864,3267
"Sabah","Ranau",5.9301,116.731916666667,102,500,602
"Sabah","Sandakan",5.77715,117.3224,449,4029,4478
"Sabah","Semporna",5.0859,118.366283333333,269,1985,2254
"Sabah","Sipitang",5.28565,115.748825,52,517,569
"Sabah","Tawau",5.0859,118.366283333333,484,5631,6115
"Sabah","Tenom",5.19825,116.2369,77,264,341
"Sabah","Tuaran",6.044625,116.13915,118,614,732
"Sabah","W.P. Labuan",5.28565,115.748825,171,1332,1503
"Sarawak","Bau",1.39676666666667,110.104966666667,159,321,480
"Sarawak","Belaga",3.04043333333333,114.012633333333,57,270,327
"Sarawak","Betong",1.40285,111.562166666667,83,506,589
"Sarawak","Bintulu",3.23803333333333,113.392183333333,373,3266,3639
"Sarawak","Dalat",2.633,112.0348,36,118,154
"Sarawak","Julau",1.9483,111.87935,29,58,87
"Sarawak","Kanowit",2.06256666666667,112.17715,30,97,127
"Sarawak","Kapit",1.91178333333333,113.079416666667,65,290,355
"Sarawak","Kota Samarahan",1.4482,110.484183333333,350,2368,2718
"Sarawak","Kuching",1.58986666666667,110.358033333333,1254,8498,9752
"Sarawak","Lawas",4.7689,115.438466666667,72,249,321
"Sarawak","Limbang",4.57033333333333,115.011716666667,112,278,390
"Sarawak","Lubok Antu",1.14255,111.8036,45,142,187
"Sarawak","Lundu",1.651,109.899533333333,74,397,471
"Sarawak","Marudi",4.22135,114.351183333333,210,400,610
"Sarawak","Matu Daro",2.56205,111.412683333333,37,181,218
"Sarawak","Meradong",2.16211666666667,111.64865,87,257,344
"Sarawak","Miri",4.16713333333333,113.9532,917,5273,6190
"Sarawak","Mukah",2.82031666666667,112.170183333333,80,482,562
"Sarawak","Padawan",1.42615,110.32645,695,5702,6397
"Sarawak","Saratok",1.74975,111.3218,46,262,308
"Sarawak","Sarikei",2.10368333333333,111.5046,114,959,1073
"Sarawak","Serian",1.17221666666667,110.580033333333,170,797,967
"Sarawak","Sibu",2.30241666666667,111.841133333333,709,4757,5466
"Sarawak","Simunjan",1.15256666666667,110.89725,52,283,335
"Sarawak","Song",1.86673333333333,112.63755,27,44,71
"Sarawak","Sri Aman",1.23695,111.459366666667,123,709,832
"Sarawak","Tatau",2.90553333333333,112.85185,32,134,166
"Selangor","Ampang Jaya",3.1302016,101.8296943,3499,12194,15693
"Selangor","Gombak",3.2990112,101.5397976,4472,14586,19058
